,price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood,square_meters_price
94,850,2,1,True,False,53,flat,Ciutat Vella,16.037735849056602
95,900,3,1,True,False,77,flat,Eixample,11.688311688311689
96,2000,4,3,True,False,202,flat,Eixample,9.900990099009901
97,1100,2,2,True,False,92,flat,Ciutat Vella,11.956521739130435
98,850,3,1,True,False,61,flat,Gràcia,13.934426229508198
99,2850,3,2,True,False,171,flat,Eixample,16.666666666666668
100,2500,3,2,True,False,180,apartment,Eixample,13.88888888888889
101,1500,2,2,True,False,60,apartment,Eixample,25.0
102,2057,1,1,True,False,74,apartment,Sant Martí,27.7972972972973
103,1800,3,2,False,False,100,apartment,Ciutat Vella,18.0
104,1800,1,1,False,False,90,apartment,Gràcia,20.0
105,3144,2,2,False,False,62,apartment,Eixample,50.70967741935484
106,1550,3,1,False,False,63,apartment,Sants-Montjuïc,24.603174603174605
107,1800,1,1,False,False,55,apartment,Sants-Montjuïc,32.72727272727273
108,2400,2,1,False,False,65,apartment,Ciutat Vella,36.92307692307692
109,1600,1,1,False,False,48,apartment,Ciutat Vella,33.333333333333336
110,976,3,1,False,False,80,apartment,Ciutat Vella,12.2
111,976,3,1,False,False,80,apartment,Ciutat Vella,12.2
112,2021,2,1,False,False,60,apartment,Eixample,33.68333333333333
113,1540,2,1,False,False,75,apartment,Eixample,20.533333333333335
114,4000,4,4,True,False,220,flat,Sarria-Sant Gervasi,18.181818181818183
115,900,2,2,True,False,60,flat,Ciutat Vella,15.0
116,890,1,1,True,False,40,study,Sarria-Sant Gervasi,22.25
117,1500,1,1,True,False,58,apartment,Sant Martí,25.862068965517242
118,2300,3,2,True,False,90,apartment,Eixample,25.555555555555557
119,1970,2,2,True,False,73,flat,Sant Martí,26.986301369863014
120,1210,2,1,True,False,47,flat,Sant Martí,25.74468085106383
121,1185,2,1,False,False,47,flat,Sant Martí,25.21276595744681
122,2250,3,2,True,False,100,apartment,Eixample,22.5
123,1900,2,2,True,False,73,flat,Sant Martí,26.027397260273972
124,3500,3,3,True,False,205,apartment,Eixample,17.073170731707318
125,1250,3,1,True,False,75,flat,Les Corts,16.666666666666668
126,795,2,2,True,True,59,flat,Nou Barris,13.474576271186441
127,780,3,1,True,False,68,flat,Horta- Guinardo,11.470588235294118
128,950,3,1,False,True,101,flat,Ciutat Vella,9.405940594059405
129,895,3,1,False,True,85,flat,Gràcia,10.529411764705882
130,995,4,2,True,False,90,flat,Sants-Montjuïc,11.055555555555555
131,780,2,1,False,False,51,flat,Nou Barris,15.294117647058824
132,2400,3,3,True,False,140,flat,Sarria-Sant Gervasi,17.142857142857142
133,1170,2,1,True,True,72,flat,Eixample,16.25
134,2200,2,1,True,False,65,flat,Sarria-Sant Gervasi,33.84615384615385
135,2700,3,2,True,False,85,,Sarria-Sant Gervasi,31.764705882352942
136,1600,0,1,True,False,60,,Eixample,26.666666666666668
137,1300,3,1,True,False,85,flat,Eixample,15.294117647058824
138,650,0,1,True,False,28,apartment,Ciutat Vella,23.214285714285715
139,730,1,1,False,False,40,flat,Ciutat Vella,18.25
140,1750,3,2,True,False,140,flat,Sarria-Sant Gervasi,12.5
141,1250,2,2,True,False,70,flat,Eixample,17.857142857142858
142,1000,1,1,True,True,51,flat,Gràcia,19.607843137254903
143,1220,1,1,True,False,75,apartment,Sarria-Sant Gervasi,16.266666666666666
144,800,2,1,True,False,60,flat,Gràcia,13.333333333333334
145,2700,7,3,True,False,250,flat,Eixample,10.8
146,980,3,1,True,False,67,flat,Eixample,14.626865671641792
147,1195,1,1,True,False,95,flat,Sant Andreu,12.578947368421053
148,1050,1,1,True,False,61,apartment,Ciutat Vella,17.21311475409836
149,1700,4,2,True,True,95,flat,Eixample,17.894736842105264
150,1800,4,2,True,True,92,flat,Eixample,19.565217391304348
151,1350,4,2,True,False,120,flat,Eixample,11.25
152,930,2,1,True,True,70,flat,Sants-Montjuïc,13.285714285714286
153,995,4,1,True,True,87,flat,Horta- Guinardo,11.436781609195402
154,1200,2,1,True,True,65,flat,Sarria-Sant Gervasi,18.46153846153846
155,850,2,1,True,False,47,flat,Ciutat Vella,18.085106382978722
156,990,2,2,False,False,80,flat,Sarria-Sant Gervasi,12.375
157,2550,2,2,True,False,123,flat,Ciutat Vella,20.73170731707317
158,1150,2,1,True,False,60,apartment,Ciutat Vella,19.166666666666668
159,1200,3,1,True,False,75,apartment,Ciutat Vella,16.0
160,1300,2,1,False,False,70,flat,Ciutat Vella,18.571428571428573
161,1350,2,1,True,False,65,flat,Ciutat Vella,20.76923076923077
162,2000,2,2,True,True,115,flat,Ciutat Vella,17.391304347826086
163,850,1,1,False,False,40,apartment,Ciutat Vella,21.25
164,1475,2,2,False,False,121,flat,Ciutat Vella,12.190082644628099
165,1400,1,1,True,False,33,flat,Ciutat Vella,42.42424242424242
166,4000,2,2,True,False,115,apartment,Ciutat Vella,34.78260869565217
167,900,1,1,False,False,36,flat,Ciutat Vella,25.0
168,950,3,2,False,False,75,flat,Ciutat Vella,12.666666666666666
169,1300,1,1,False,False,68,flat,Ciutat Vella,19.11764705882353
170,5250,5,3,True,True,395,attic,Ciutat Vella,13.291139240506329
171,1250,2,2,True,True,103,flat,Ciutat Vella,12.135922330097088
172,1100,3,2,True,False,85,flat,Ciutat Vella,12.941176470588236
173,2000,2,2,True,True,120,flat,Ciutat Vella,16.666666666666668
174,1100,1,1,True,False,68,flat,Ciutat Vella,16.176470588235293
175,1100,1,1,True,False,50,flat,Ciutat Vella,22.0
176,1600,3,2,True,False,122,flat,Ciutat Vella,13.114754098360656
177,1800,3,2,True,False,85,flat,Ciutat Vella,21.176470588235293
178,1000,3,1,False,False,70,flat,Ciutat Vella,14.285714285714286
179,702,2,1,True,False,37,flat,Ciutat Vella,18.972972972972972
180,3000,4,2,False,True,180,flat,Ciutat Vella,16.666666666666668
181,1700,2,2,True,False,120,flat,Ciutat Vella,14.166666666666666
182,1350,5,2,False,False,112,flat,Ciutat Vella,12.053571428571429
183,1600,3,2,True,False,86,attic,Ciutat Vella,18.6046511627907
184,1175,3,2,False,False,97,flat,Ciutat Vella,12.11340206185567
185,1250,2,2,True,False,46,flat,Ciutat Vella,27.17391304347826
186,2500,3,2,True,False,139,apartment,Ciutat Vella,17.985611510791365
187,1100,2,1,True,False,46,flat,Ciutat Vella,23.91304347826087
188,800,3,1,False,False,55,flat,Ciutat Vella,14.545454545454545
189,1360,2,1,True,True,57,apartment,Ciutat Vella,23.859649122807017
190,1700,2,2,False,True,151,flat,Ciutat Vella,11.258278145695364
191,2000,2,2,False,False,121,flat,Ciutat Vella,16.52892561983471
192,1500,3,2,True,False,89,flat,Ciutat Vella,16.853932584269664
193,1100,1,1,True,True,40,flat,Ciutat Vella,27.5
194,690,1,1,False,False,37,flat,Ciutat Vella,18.64864864864865
195,1500,1,2,False,False,110,flat,Ciutat Vella,13.636363636363637
196,1690,3,2,False,False,130,apartment,Ciutat Vella,13.0
197,1100,2,2,True,False,58,flat,Ciutat Vella,18.96551724137931
198,2200,2,2,True,True,90,flat,Ciutat Vella,24.444444444444443
199,1290,4,2,True,False,120,apartment,Ciutat Vella,10.75
200,1350,2,2,True,False,46,flat,Ciutat Vella,29.347826086956523
201,1290,2,1,False,False,62,flat,Ciutat Vella,20.806451612903224
202,1900,2,2,True,False,99,flat,Ciutat Vella,19.19191919191919
203,1400,2,2,True,True,65,flat,Ciutat Vella,21.53846153846154
204,800,2,1,False,False,50,flat,Ciutat Vella,16.0
205,1500,2,1,True,True,62,apartment,Ciutat Vella,24.193548387096776
206,900,2,1,True,False,60,flat,Ciutat Vella,15.0
207,1050,1,1,False,False,80,flat,Ciutat Vella,13.125
208,1250,2,2,True,True,67,flat,Ciutat Vella,18.65671641791045
209,1130,1,1,True,True,47,apartment,Ciutat Vella,24.04255319148936
210,1000,2,3,True,False,70,apartment,Ciutat Vella,14.285714285714286
211,1200,1,1,True,False,65,flat,Ciutat Vella,18.46153846153846
212,1250,2,1,True,True,62,apartment,Ciutat Vella,20.161290322580644
213,1100,1,1,True,False,110,,Ciutat Vella,10.0
214,2300,4,3,True,False,147,apartment,Ciutat Vella,15.646258503401361
215,1350,2,2,False,False,60,flat,Ciutat Vella,22.5
216,1200,2,2,False,False,70,flat,Ciutat Vella,17.142857142857142
217,2500,2,2,True,False,122,apartment,Ciutat Vella,20.491803278688526
218,2700,4,2,True,True,162,apartment,Ciutat Vella,16.666666666666668
219,1400,3,1,True,False,80,flat,Ciutat Vella,17.5
220,1500,2,2,True,True,98,flat,Ciutat Vella,15.306122448979592
221,1350,1,1,False,True,35,flat,Ciutat Vella,38.57142857142857
222,1250,2,1,False,False,65,flat,Ciutat Vella,19.23076923076923
223,1100,2,2,True,False,75,apartment,Ciutat Vella,14.666666666666666
224,1000,1,1,True,True,40,flat,Ciutat Vella,25.0
225,1250,2,2,True,False,46,flat,Ciutat Vella,27.17391304347826
226,1000,2,2,True,False,66,apartment,Ciutat Vella,15.151515151515152
227,1200,4,2,True,False,130,flat,Ciutat Vella,9.23076923076923
228,1600,3,2,True,False,173,flat,Ciutat Vella,9.248554913294798
229,5720,3,2,False,False,115,flat,Ciutat Vella,49.73913043478261
230,1500,2,2,True,True,86,flat,Ciutat Vella,17.441860465116278
231,1200,2,1,False,False,85,flat,Ciutat Vella,14.117647058823529
232,2290,4,2,True,True,180,flat,Gràcia,12.722222222222221
233,1900,3,1,True,True,125,flat,Gràcia,15.2
234,1300,3,2,True,True,100,flat,Gràcia,13.0
235,2500,2,2,True,True,72,flat,Gràcia,34.72222222222222
236,1800,2,1,False,True,100,flat,Gràcia,18.0
237,3600,3,2,False,False,193,attic,Gràcia,18.65284974093264
238,1200,2,1,True,False,77,flat,Gràcia,15.584415584415584
239,1350,1,1,False,True,50,apartment,Gràcia,27.0
240,1250,2,2,False,False,75,flat,Gràcia,16.666666666666668
241,1480,2,2,True,False,100,flat,Gràcia,14.8
242,1300,2,1,True,False,60,apartment,Gràcia,21.666666666666668
243,1350,2,1,True,False,60,apartment,Gràcia,22.5
244,1800,3,2,True,False,100,flat,Gràcia,18.0
245,1900,1,1,False,True,80,flat,Gràcia,23.75
246,1300,3,1,False,True,85,flat,Gràcia,15.294117647058824
247,1400,3,2,False,False,125,flat,Gràcia,11.2
248,1835,1,1,True,False,59,,Gràcia,31.10169491525424
249,1400,2,1,True,False,55,flat,Gràcia,25.454545454545453
250,1900,1,1,False,True,80,flat,Gràcia,23.75
251,1500,1,1,False,True,94,flat,Gràcia,15.957446808510639
252,1800,2,1,True,False,100,flat,Gràcia,18.0
253,1800,2,1,False,True,65,attic,Gràcia,27.692307692307693
254,2050,3,2,True,True,177,flat,Gràcia,11.581920903954803
255,3200,5,3,True,False,208,flat,Gràcia,15.384615384615385
256,3768,3,2,True,True,117,flat,Gràcia,32.205128205128204
257,1300,4,1,False,True,85,flat,Gràcia,15.294117647058824
258,1300,4,1,True,False,107,flat,Les Corts,12.149532710280374
259,990,2,1,True,False,74,flat,Eixample,13.378378378378379
260,1200,3,2,True,True,77,flat,Sants-Montjuïc,15.584415584415584
261,2229,3,2,False,False,80,apartment,Eixample,27.8625
262,2150,1,1,False,False,35,apartment,Sants-Montjuïc,61.42857142857143
263,1806,2,2,False,False,80,apartment,Sant Martí,22.575
264,2155,3,2,False,False,80,apartment,Eixample,26.9375
265,2317,3,2,False,False,80,apartment,Eixample,28.9625
266,2008,3,2,False,False,80,apartment,Eixample,25.1
267,2040,1,1,False,False,45,apartment,Sants-Montjuïc,45.333333333333336
268,2760,3,2,False,False,80,apartment,Eixample,34.5
269,950,1,1,True,True,40,attic,Eixample,23.75
270,900,1,1,True,False,45,flat,Eixample,20.0
271,850,1,1,True,False,50,flat,Ciutat Vella,17.0
272,1000,3,2,True,False,88,flat,Eixample,11.363636363636363
273,950,2,1,True,False,45,flat,Eixample,21.11111111111111
274,1500,3,2,False,False,92,flat,Sarria-Sant Gervasi,16.304347826086957
275,1600,3,2,True,True,100,flat,Sarria-Sant Gervasi,16.0
276,1000,1,2,True,False,50,flat,Eixample,20.0
277,1200,1,1,True,False,50,flat,Eixample,24.0
278,1350,3,1,True,True,120,flat,Eixample,11.25
279,1425,2,2,True,False,88,flat,Les Corts,16.193181818181817
280,1550,5,2,True,True,146,flat,Les Corts,10.616438356164384
281,1495,4,2,True,False,123,flat,Les Corts,12.154471544715447
282,950,2,1,True,False,62,flat,Eixample,15.32258064516129
283,950,1,1,True,False,50,flat,Eixample,19.0
284,2300,2,2,False,False,96,flat,Ciutat Vella,23.958333333333332
285,3200,5,3,True,False,200,flat,Les Corts,16.0
286,3400,5,3,True,False,200,flat,Les Corts,17.0
287,3200,4,3,True,True,148,flat,Sarria-Sant Gervasi,21.62162162162162
288,3800,3,4,True,False,218,,Eixample,17.431192660550458
289,1500,2,2,True,False,88,flat,Sarria-Sant Gervasi,17.045454545454547
290,2300,4,2,True,False,158,flat,Sarria-Sant Gervasi,14.556962025316455
291,1100,2,1,True,False,57,flat,Eixample,19.29824561403509
292,1100,1,1,True,True,45,attic,Sarria-Sant Gervasi,24.444444444444443
293,1150,1,1,True,False,40,flat,Sarria-Sant Gervasi,28.75
294,1060,4,2,True,False,98,flat,Sarria-Sant Gervasi,10.816326530612244
295,750,1,1,False,False,60,flat,Sants-Montjuïc,12.5
296,1000,3,1,True,True,71,attic,Horta- Guinardo,14.084507042253522
297,750,2,1,False,False,52,flat,Sants-Montjuïc,14.423076923076923
298,1200,2,2,True,False,113,flat,Eixample,10.619469026548673
299,700,1,1,True,False,50,flat,Ciutat Vella,14.0
300,1125,2,1,True,True,75,flat,Ciutat Vella,15.0
301,1300,2,1,True,False,80,flat,Eixample,16.25
302,970,2,1,True,True,43,flat,Sarria-Sant Gervasi,22.558139534883722
303,1950,5,3,True,True,170,flat,Sarria-Sant Gervasi,11.470588235294118
304,1000,3,1,True,True,70,flat,Eixample,14.285714285714286
305,1850,3,2,True,True,100,flat,Sarria-Sant Gervasi,18.5
306,1290,3,2,True,False,100,flat,Eixample,12.9
307,950,1,1,True,False,54,flat,Ciutat Vella,17.59259259259259
308,1500,2,2,True,False,95,flat,Eixample,15.789473684210526
309,650,1,1,True,False,25,flat,Eixample,26.0
310,750,1,1,False,False,22,flat,Ciutat Vella,34.09090909090909
311,1080,2,1,False,False,75,flat,Sarria-Sant Gervasi,14.4
312,8482,4,7,True,True,225,flat,Les Corts,37.69777777777778
313,890,1,1,True,False,54,flat,Sarria-Sant Gervasi,16.48148148148148
314,3500,2,2,True,True,152,flat,Sarria-Sant Gervasi,23.026315789473685
315,3219,3,2,True,True,120,flat,Sarria-Sant Gervasi,26.825
316,3400,3,3,True,True,220,flat,Sarria-Sant Gervasi,15.454545454545455
317,1200,2,2,False,False,98,flat,Ciutat Vella,12.244897959183673
318,1626,3,2,True,True,81,flat,Eixample,20.074074074074073
319,3200,4,3,True,True,200,,Sarria-Sant Gervasi,16.0
320,750,1,1,False,False,40,flat,Ciutat Vella,18.75
321,3500,4,4,True,True,188,flat,Sarria-Sant Gervasi,18.617021276595743
322,1200,2,1,False,False,50,flat,Sants-Montjuïc,24.0
323,2200,2,2,True,True,89,flat,Ciutat Vella,24.719101123595507
324,1700,3,1,True,True,130,flat,Ciutat Vella,13.076923076923077
325,1450,4,2,True,False,84,flat,Les Corts,17.261904761904763
326,1200,3,1,True,False,75,flat,Ciutat Vella,16.0
327,3500,2,2,True,True,113,flat,Eixample,30.97345132743363
328,1350,4,2,True,True,112,flat,Les Corts,12.053571428571429
329,1400,3,2,True,False,106,flat,Eixample,13.20754716981132
330,2000,5,3,True,True,167,flat,Sarria-Sant Gervasi,11.976047904191617
331,1724,3,2,True,True,78,flat,Eixample,22.102564102564102
332,1150,3,2,True,False,88,flat,Sarria-Sant Gervasi,13.068181818181818
333,5000,4,3,True,True,220,flat,Sarria-Sant Gervasi,22.727272727272727
334,935,3,2,False,False,82,flat,Horta- Guinardo,11.402439024390244
335,3600,5,4,True,True,185,flat,Les Corts,19.45945945945946
336,3400,5,4,True,True,220,flat,Sarria-Sant Gervasi,15.454545454545455
337,2500,3,2,True,True,145,flat,Sarria-Sant Gervasi,17.24137931034483
338,2000,3,2,True,True,110,flat,Eixample,18.181818181818183
339,1590,3,2,True,False,110,flat,Eixample,14.454545454545455
340,3000,3,3,True,True,174,,Ciutat Vella,17.24137931034483
341,5200,3,2,True,True,150,flat,Ciutat Vella,34.666666666666664
342,2600,3,2,False,True,136,,Sant Martí,19.11764705882353
343,1000,3,1,False,False,63,flat,Gràcia,15.873015873015873
344,1900,2,2,True,True,92,flat,Gràcia,20.652173913043477
345,3800,2,2,True,True,100,flat,Ciutat Vella,38.0
346,1600,4,2,True,True,137,flat,Sarria-Sant Gervasi,11.678832116788321
347,1650,3,2,True,True,138,flat,Eixample,11.956521739130435
348,2500,3,2,True,True,136,flat,Sarria-Sant Gervasi,18.38235294117647
349,1450,2,1,True,False,90,flat,Eixample,16.11111111111111
350,2700,5,3,True,True,227,flat,Sarria-Sant Gervasi,11.894273127753303
351,900,3,1,True,False,82,flat,Gràcia,10.975609756097562
352,6800,5,5,True,True,325,flat,Sarria-Sant Gervasi,20.923076923076923
353,1950,2,1,True,True,100,flat,Sant Martí,19.5
354,1150,1,2,True,False,100,flat,Ciutat Vella,11.5
355,1050,3,1,True,False,81,flat,Eixample,12.962962962962964
356,6000,3,3,True,True,250,flat,Sant Martí,24.0
357,3000,4,3,True,True,193,attic,Eixample,15.544041450777202
358,3600,3,5,True,False,280,flat,Les Corts,12.857142857142858
359,1150,1,1,True,True,45,flat,Ciutat Vella,25.555555555555557
360,3300,4,3,True,False,174,flat,Sarria-Sant Gervasi,18.96551724137931
361,1750,4,2,True,True,100,flat,Sant Martí,17.5
362,900,1,1,False,True,47,,Sants-Montjuïc,19.148936170212767
363,2200,3,2,True,False,110,flat,Eixample,20.0
364,2200,4,2,True,True,175,flat,Eixample,12.571428571428571
365,975,1,1,True,False,51,flat,Ciutat Vella,19.11764705882353
366,2200,3,2,True,False,112,flat,Eixample,19.642857142857142
367,1300,1,1,True,False,99,flat,Ciutat Vella,13.131313131313131
368,4900,5,5,True,True,257,flat,Sarria-Sant Gervasi,19.06614785992218
369,1200,1,1,False,False,60,flat,Ciutat Vella,20.0
370,2250,2,2,True,True,75,flat,Eixample,30.0
371,8000,4,4,True,False,226,flat,Eixample,35.39823008849557
372,3500,3,2,True,True,150,flat,Eixample,23.333333333333332
373,1975,5,3,True,False,140,flat,Sarria-Sant Gervasi,14.107142857142858
374,1250,2,2,False,False,82,flat,Ciutat Vella,15.24390243902439
375,1600,1,1,True,False,82,flat,Eixample,19.51219512195122
376,8500,3,3,True,False,220,flat,Eixample,38.63636363636363
377,1750,3,2,True,False,130,flat,Gràcia,13.461538461538462
378,1949,1,1,True,True,58,flat,Gràcia,33.60344827586207
379,2000,2,2,True,True,115,apartment,Ciutat Vella,17.391304347826086
380,1385,2,1,False,False,55,flat,Sant Martí,25.181818181818183
381,1050,2,1,False,True,55,flat,Gràcia,19.09090909090909
382,2150,4,2,True,False,158,flat,Sant Martí,13.60759493670886
383,1200,2,1,True,True,61,apartment,Ciutat Vella,19.672131147540984
384,1360,2,1,True,False,55,flat,Sant Martí,24.727272727272727
385,800,1,1,True,False,52,flat,Ciutat Vella,15.384615384615385
386,1700,2,2,True,True,120,apartment,Ciutat Vella,14.166666666666666
387,4900,4,3,True,False,170,apartment,Sarria-Sant Gervasi,28.823529411764707
388,2900,4,3,True,False,247,apartment,Sarria-Sant Gervasi,11.740890688259109
389,1300,2,1,True,False,60,apartment,Ciutat Vella,21.666666666666668
390,1700,2,1,True,True,95,apartment,Ciutat Vella,17.894736842105264
391,2000,3,2,True,False,92,flat,Sant Martí,21.73913043478261
392,1450,2,2,False,False,80,attic,Sarria-Sant Gervasi,18.125
393,550,1,1,False,False,38,,Horta- Guinardo,14.473684210526315
394,3833,3,2,True,True,135,flat,Les Corts,28.392592592592592
395,2400,3,3,True,False,148,flat,Sarria-Sant Gervasi,16.216216216216218
396,3200,4,3,True,True,155,attic,Sarria-Sant Gervasi,20.64516129032258
397,4600,4,4,True,True,270,,Sarria-Sant Gervasi,17.037037037037038
398,3850,5,3,True,False,260,flat,Sarria-Sant Gervasi,14.807692307692308
399,9075,4,5,True,True,215,attic,Sarria-Sant Gervasi,42.2093023255814
400,7000,5,5,True,True,400,flat,Sarria-Sant Gervasi,17.5
401,2900,4,2,True,True,150,flat,Sarria-Sant Gervasi,19.333333333333332
402,3000,3,2,True,True,165,flat,Sarria-Sant Gervasi,18.181818181818183
403,5300,4,5,False,True,260,flat,Sarria-Sant Gervasi,20.384615384615383
404,3000,3,2,True,False,160,flat,Sarria-Sant Gervasi,18.75
405,4700,4,3,True,True,224,flat,Sarria-Sant Gervasi,20.982142857142858
406,620,0,1,True,False,29,,Les Corts,21.379310344827587
407,920,3,1,True,False,76,flat,Sant Martí,12.105263157894736
408,895,1,1,True,False,55,flat,Eixample,16.272727272727273
409,750,3,1,True,False,67,flat,Sant Andreu,11.194029850746269
410,1050,3,1,True,False,75,flat,Sarria-Sant Gervasi,14.0
411,800,3,1,False,False,65,flat,Sant Martí,12.307692307692308
412,1000,3,1,True,False,80,flat,Eixample,12.5
413,1085,3,2,True,False,83,flat,Les Corts,13.072289156626505
414,850,3,1,True,False,58,flat,Sants-Montjuïc,14.655172413793103
415,995,1,1,True,False,50,flat,Sarria-Sant Gervasi,19.9
